x,y,z
86.894973,103.731598,111.127469
86.05698,74.521368,90.964387
86.84742,84.848518,104.53787
80.754159,82.767098,105.438078
85.168053,86.77371,136.587354
79.398401,84.221852,127.565623
80.814159,89.430678,115.231268
77.196914,77.524614,145.837619
84.408074,109.82229,124.363317
82.241719,124.339302,118.569382
66.808871,72.715323,139.629032
84.455241,131.183536,131.043635
69.698918,131.674072,137.728442
81.616644,64.449523,132.899045
78.082592,52.547649,129.927573
54.30504,78.639699,133.54244
62.004614,69.61707,125.258362
68.916533,63.23114,135.889246
63.267232,58.20226,123.986441
41.860496,104.311709,125.768987
52.428189,95.303667,122.502292
58.537415,105.608844,118.408163
53.27913,114.122216,136.10668
75.523118,112.953763,140.165054
32.423866,132.818138,103.072554
85.71482,122.438623,112.543413
87.197935,136.562823,100.375215
85.926439,145.473348,103.304904
82.475465,140.625212,112.576142
85.878669,164.201566,70.600783
83.510986,164.846197,98.791549
85.561807,157.006339,117.958003
82.359393,174.618436,69.042007
85.146262,172.751896,60.15493
57.754386,157.371517,53.686275
51.352616,145.949195,120.685614
67.233301,158.5722,113.623772
83.868691,181.249145,91.301967
78.91626,168.845999,120.171207
71.348837,176.911205,105.233263
81.086781,193.730216,74.665468
50.37308,145.14594,108.576811
37.055203,145.308467,85.935472
39.515005,153.265247,72.484511
46.146087,158.131594,56.831304
52.625557,178.539747,62.249629
39.694803,135.156311,86.720594
50.829828,143.133843,95.51434
54.052897,133.420655,99.677582
44.515479,155.734341,89.435565
42.045036,164.740532,73.742068
43.648143,159.269405,97.278164
54.973373,167.290598,102.286325
50.407407,178.769841,79.984127
61.307805,176.773458,93.881321
70.836969,188.89409,90.121777
87.511155,176.704016,52.646009
66.79639,188.730686,61.363177
79.325648,188.469741,53.417291
65.791587,172.746973,54.321224
70.701739,152.646957,50.322609
83.615202,158.638955,45.933017
60.445039,146.166964,51.135472
60.154362,70.736018,115.630872
64.183119,124.292844,124.65945
58.342047,134.887653,128.925473
70.548089,149.926634,130.08693
34.231572,127.220516,81.591523
31.065974,115.43372,85.110568
45.814286,107.14898,89.419388
51.053528,111.892944,90.335766
52.031915,105.12766,73.634752
46.93904,94.059663,90.975357
42.446673,98.010939,94.233364
50.080778,122.827214,71.63067
39.836312,130.301644,63.779843
50.523336,141.361132,77.437643
52.77037,135.922222,73.7
57.555081,133.362084,52.703672
58.445161,150.95914,67.72043
54.936552,141.408966,60.337241
43.638509,131.004969,75.765217
56.149813,133.580524,83.445693
49.524038,122.612981,86.716346
36.126206,103.276912,110.400148
53.147097,85.464516,115.539355
70.108232,115.451982,45.18064
70.221751,95.334746,62.004237
60.712375,103.927258,54.33194
70.101423,77.854093,73.617438
63.003326,117.21583,36.977054
41.594035,142.606208,49.973828
33.096591,107.575487,79.568994
29.134363,113.095062,68.029224
70.162458,92.5,55.005892
56.793319,89.695198,55.185804
38.705061,125.180919,55.141361
41.526702,98.094126,69.690254
30.95466,98.034257,65.971788
55.264395,140.071941,34.559763
32.156938,125.713112,43.546788
27.790845,84.652057,59.44899
35.763051,107.785779,39.880513
49.626318,105.570338,41.435842
41.843798,89.348137,49.277693
30.004594,73.093109,65.673201
41.367731,64.734587,61.13861
36.339798,82.305051,82.842828
34.431659,69.409508,81.67477
44.569097,65.107726,91.621328
71.658746,57.291089,104.820462
45.491584,48.937135,98.336654
49.719313,79.054936,117.186266
56.10469,57.245394,114.665829
56.220528,48.778455,98.620935
28.000702,105.724719,95.294944
29.656612,96.343693,111.425046
38.024068,76.292314,117.520769
37.886767,66.21809,101.865327
45.735542,57.616193,114.445321
66.971053,43.206579,117.961842
71.942782,73.198944,63.584507
62.83642,64.92284,61.896605
60.39823,91.648968,57.716814
41.209816,53.52638,69.720245
38.91249,62.962609,72.511535
51.141138,43.050328,83.778993
41.930187,53.481809,85.433628
62.482,72.616,65.532
77.37785,74.687296,107.338762
83.9,85.809091,114.561039
61.276977,79.81999,52.749876
87.037037,143.861454,58.698217
86.948307,156.390374,55.54902
77.656757,138.762838,52.856757
52.45642,115.341143,68.178069
54.984127,112.0839,86.482993
53.738178,153.878893,75.189158
66.879454,187.415677,72.800475
44.467343,172.381737,65.509195
56.653745,123.570388,25.638589
43.806818,111.762784,74.931818
